,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s1,S  9,9,800,0.8,0.41400000000000003,1
3,s1,S  9,9,1636,1.636,0.4139999999999999,0
14,s1,S  9,9,3725,3.725,0.2490000000000001,1
21,s1,S  9,9,4984,4.984,0.28500000000000014,1
30,s1,S  9,9,6656,6.656,0.3229999999999995,1
37,s1,S  9,9,7906,7.906,0.351,1
46,s1,S  9,9,9579,9.579,0.3890000000000011,1
54,s1,S  9,9,10831,10.831,0.009999999999999787,1
59,s1,S  9,9,11669,11.669,0.031000000000000583,1
70,s1,S  9,9,13761,13.761,0.08599999999999852,1
81,s1,S  9,9,15849,15.849,0.13400000000000034,1
88,s1,S  9,9,17106,17.106,0.16400000000000148,1
107,s1,S  9,9,20864,20.864,0.2530000000000001,1
112,s1,S  9,9,21701,21.701,0.27500000000000213,1
117,s1,S  9,9,22539,22.539,0.2940000000000005,1
122,s1,S  9,9,23375,23.375,0.31400000000000006,1
127,s1,S  9,9,24210,24.21,0.33200000000000074,1
151,s1,S  9,9,28805,28.805,0.036000000000001364,1
156,s1,S  9,9,29644,29.644,0.053999999999998494,1
163,s1,S  9,9,30896,30.896,0.08699999999999974,1
172,s1,S  9,9,32568,32.568,0.125,1
179,s1,S  9,9,33824,33.824,0.15899999999999892,1
198,s1,S  9,9,37586,37.586,0.2459999999999951,1
203,s1,S  9,9,38423,38.423,0.2680000000000007,1
210,s1,S  9,9,39677,39.677,0.2959999999999994,1
219,s1,S  9,9,41346,41.346,0.3329999999999984,1
224,s1,S  9,9,42182,42.182,0.35300000000000153,1
235,s1,S  9,9,44275,44.275,0.41100000000000136,1
241,s1,S  9,9,45109,45.109,0.018000000000000682,1
246,s1,S  9,9,45946,45.946,0.03900000000000148,1
255,s1,S  9,9,47617,47.617,0.07699999999999818,1
260,s1,S  9,9,48452,48.452,0.10000000000000142,1
269,s1,S  9,9,50128,50.128,0.14300000000000068,1
296,s1,S  9,9,55559,55.559,0.2710000000000008,1
305,s1,S  9,9,57229,57.229,0.3049999999999997,1
310,s1,S  9,9,58066,58.066,0.3260000000000005,1
315,s1,S  9,9,58901,58.901,0.3470000000000013,1
320,s1,S  9,9,59739,59.739,0.367999999999995,1
