,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
10,s1,S  9,9,3538,7.076,0.516,0
18,s1,S  9,9,5212,10.424,0.5960000000000001,0
54,s1,S  9,9,11898,23.796,0.09399999999999764,0
77,s1,S  9,9,16076,32.152,0.2940000000000005,0
103,s1,S  9,9,21095,42.19,0.5399999999999991,0
107,s1,S  9,9,21930,43.86,0.578000000000003,0
128,s1,S  9,9,25690,51.38,0.7560000000000002,0
142,s1,S  9,9,28198,56.396,0.055999999999997385,0
160,s1,S  9,9,31543,63.086,0.2259999999999991,0
194,s1,S  9,9,37816,75.632,0.5260000000000105,0
202,s1,S  9,9,39485,78.97,0.5999999999999943,0
210,s1,S  9,9,41159,82.318,0.6880000000000024,0
232,s1,S  9,9,44922,89.844,0.0519999999999925,0
251,s1,S  9,9,48266,96.532,0.20999999999999375,0
294,s1,S  9,9,56624,113.248,0.6099999999999994,0
