,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
30,s2,S 65,1,6345,12.69,0.1399999999999988,0
102,s2,S 65,1,20627,41.254,0.28000000000000114,0
112,s2,S 65,1,22662,45.324,0.1699999999999946,0
120,s2,S 65,1,24298,48.596,0.09799999999999898,0
213,s2,S 65,1,41024,82.048,0.11599999999999966,0
219,s2,S 65,1,42245,84.49,0.04200000000000159,0
229,s2,S 65,1,44288,88.576,0.7859999999999872,0
273,s2,S 65,1,52447,104.894,0.39000000000000057,0
298,s2,S 65,1,57340,114.68,0.13800000000000523,0
302,s2,S 65,1,58157,116.314,0.10199999999998965,0
306,s2,S 65,1,58976,117.952,0.06799999999999784,0
312,s2,S 65,1,60201,120.402,0.016000000000005343,0
