,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
42,s2,S 69,5,9009,18.018,0.8200000000000003,0
45,s2,S 69,5,9825,19.65,0.8039999999999985,0
66,s2,S 69,5,13496,26.992,0.6219999999999999,0
91,s2,S 69,5,18390,36.78,0.38000000000000256,0
122,s2,S 69,5,24104,48.208,0.10000000000000142,0
127,s2,S 69,5,24918,49.836,0.04999999999999716,0
222,s2,S 69,5,42868,85.736,0.0040000000000048885,0
265,s2,S 69,5,51028,102.056,0.44199999999999307,0
269,s2,S 69,5,51845,103.69,0.402000000000001,0
