,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
39,response,S130,2,8731,17.462,0.5199999999999996
135,response,S130,2,26756,53.512,0.6640000000000015
193,response,S130,2,37764,75.528,0.10800000000000409
277,response,S130,2,53642,107.284,0.09200000000001296
