,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
45,response,S134,6,9054,18.108,0.4400000000000013
121,response,S134,6,22870,45.74,0.32800000000000296
150,response,S134,6,28203,56.406,0.35600000000000165
274,response,S134,6,50975,101.95,0.24200000000000443
