,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
0,response,S133,5,202,0.404,0.0,3
68,response,S133,5,12409,24.818,0.07600000000000051,3
75,response,S133,5,13734,27.468,0.21999999999999886,3
99,response,S133,5,18568,37.136,0.31800000000000495,3
126,response,S133,5,23350,46.7,0.09000000000000341,3
139,response,S133,5,25812,51.624,0.12000000000000455,3
153,response,S133,5,28420,56.84,0.32800000000000296,3
158,response,S133,5,29143,58.286,0.10600000000000165,3
169,response,S133,5,31258,62.516,0.14799999999999613,3
250,response,S133,5,46719,93.438,0.1419999999999959,3
276,response,S133,5,51806,103.612,0.28999999999999204,3
285,response,S133,5,53377,106.754,0.07800000000000296,3
