block_seq,block_condition,Voices,Target Number
s1,elevation,voice1,6
s1,elevation,voice1,3
s1,azimuth,voice2,3
s2,elevation,voice2,5
s1,azimuth,voice3,4
s2,elevation,voice4,4
s1,azimuth,voice2,9
s2,azimuth,voice1,8
s2,azimuth,voice3,6
s1,azimuth,voice4,1
s2,elevation,voice2,2
s2,elevation,voice4,2
s2,azimuth,voice1,8
s1,elevation,voice3,1
s2,azimuth,voice4,2
s1,elevation,voice3,5
s1,azimuth,voice1,5
s1,elevation,voice3,3
