block_seq,block_condition,Voices,Target Number
s1,elevation,voice4,8
s2,elevation,voice1,1
s1,azimuth,voice1,4
s1,azimuth,voice2,1
s2,azimuth,voice4,8
s2,azimuth,voice3,9
s1,elevation,voice1,6
s1,elevation,voice1,6
s1,azimuth,voice1,2
s2,elevation,voice4,8
s2,elevation,voice3,9
s1,azimuth,voice2,5
s1,elevation,voice2,3
s2,azimuth,voice3,2
s1,elevation,voice2,3
s1,azimuth,voice2,6
s2,azimuth,voice4,3
s2,elevation,voice3,5
s2,azimuth,voice3,5
s2,elevation,voice4,4
