block_seq,block_condition,Voices,Target Number
s2,azimuth,voice3,2
s1,azimuth,voice1,1
s2,elevation,voice1,4
s1,elevation,voice4,6
s2,azimuth,voice2,9
s1,azimuth,voice1,5
s1,azimuth,voice4,6
s2,azimuth,voice1,4
s1,azimuth,voice4,3
s1,elevation,voice3,5
s2,elevation,voice2,9
s1,azimuth,voice2,1
s2,elevation,voice3,2
s2,elevation,voice4,1
s1,elevation,voice3,5
s1,elevation,voice2,8
s1,elevation,voice4,8
s2,elevation,voice1,3
s2,azimuth,voice3,8
s2,azimuth,voice2,4
