block_seq,block_condition,Voices,Target Number
s2,elevation,voice4,3
s2,azimuth,voice4,4
s1,elevation,voice3,9
s1,azimuth,voice1,1
s1,azimuth,voice1,8
s1,elevation,voice1,9
s2,elevation,voice3,1
s1,azimuth,voice4,6
s1,elevation,voice2,3
s2,azimuth,voice3,9
s2,azimuth,voice3,5
s1,elevation,voice2,5
s1,elevation,voice2,8
s2,azimuth,voice2,2
s1,azimuth,voice4,4
s2,elevation,voice4,2
s1,azimuth,voice2,3
s2,elevation,voice1,4
s2,azimuth,voice1,6
s2,elevation,voice3,2
