,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
35,s2,S 69,5,14963,14.963,0.08000000000000007,0
42,s2,S 69,5,18234,18.234,0.8150000000000013,0
58,s2,S 69,5,24761,24.761,0.6780000000000008,0
62,s2,S 69,5,26393,26.393,0.6400000000000006,0
77,s2,S 69,5,32103,32.103,0.495000000000001,0
166,s2,S 69,5,65560,65.56,0.5169999999999959,0
179,s2,S 69,5,70454,70.454,0.3919999999999959,0
183,s2,S 69,5,72082,72.082,0.3469999999999942,0
200,s2,S 69,5,78612,78.612,0.17899999999998784,0
241,s2,S 69,5,94116,94.116,0.6500000000000057,0
261,s2,S 69,5,101464,101.464,0.47100000000000364,0
