,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
5,s1,S  5,5,4015,4.015,0.46699999999999964,0
9,s1,S  5,5,5688,5.688,0.5069999999999997,0
38,s1,S  5,5,16560,16.56,0.7789999999999981,0
55,s1,S  5,5,23249,23.249,0.12599999999999767,0
84,s1,S  5,5,34948,34.948,0.3930000000000007,0
92,s1,S  5,5,38295,38.295,0.4759999999999991,0
110,s1,S  5,5,44981,44.981,0.6409999999999982,0
119,s1,S  5,5,48328,48.328,0.7180000000000035,0
128,s1,S  5,5,51666,51.666,0.7929999999999993,0
145,s1,S  5,5,57520,57.52,0.12000000000000455,0
152,s1,S  5,5,60034,60.034,0.18999999999999773,0
163,s1,S  5,5,64214,64.214,0.28300000000000125,0
188,s1,S  5,5,74237,74.237,0.5219999999999914,0
196,s1,S  5,5,77587,77.587,0.6080000000000041,2
210,s1,S  5,5,82604,82.604,0.7319999999999993,0
229,s1,S  5,5,89293,89.293,0.07200000000000273,0
253,s1,S  5,5,98483,98.483,0.291000000000011,0
274,s1,S  5,5,106842,106.842,0.48799999999999955,0
282,s1,S  5,5,110192,110.192,0.5759999999999934,0
295,s1,S  5,5,115207,115.207,0.6929999999999978,0
303,s1,S  5,5,118553,118.553,0.7759999999999962,0
