,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
1,s2,S 68,4,1945,1.945,0.825,1
4,s2,S 68,4,3572,3.572,0.819,1
13,s2,S 68,4,6838,6.838,0.2889999999999997,1
18,s2,S 68,4,8463,8.463,0.2419999999999991,1
31,s2,S 68,4,13359,13.359,0.11999999999999922,1
41,s2,S 68,4,16628,16.628,0.04400000000000048,1
51,s2,S 68,4,20711,20.711,0.7769999999999975,0
55,s2,S 68,4,22343,22.343,0.7429999999999986,0
71,s2,S 68,4,28862,28.862,0.575999999999997,1
94,s2,S 68,4,37844,37.844,0.3620000000000019,1
101,s2,S 68,4,40289,40.289,0.2980000000000018,1
108,s2,S 68,4,42743,42.743,0.24600000000000222,1
115,s2,S 68,4,45186,45.186,0.1769999999999996,1
122,s2,S 68,4,47633,47.633,0.11700000000000443,1
127,s2,S 68,4,49266,49.266,0.07699999999999818,1
132,s2,S 68,4,50894,50.894,0.028999999999996362,1
144,s2,S 68,4,55797,55.797,0.7609999999999957,1
149,s2,S 68,4,57427,57.427,0.7190000000000012,1
156,s2,S 68,4,59869,59.869,0.6509999999999962,1
161,s2,S 68,4,61505,61.505,0.6120000000000019,1
172,s2,S 68,4,65588,65.588,0.5120000000000005,1
189,s2,S 68,4,72111,72.111,0.347999999999999,1
206,s2,S 68,4,78645,78.645,0.19899999999999807,1
217,s2,S 68,4,82722,82.722,0.09799999999999898,1
222,s2,S 68,4,84353,84.353,0.055999999999997385,0
226,s2,S 68,4,85988,85.988,0.01999999999999602,0
230,s2,S 68,4,87612,87.612,0.2909999999999968,1
235,s2,S 68,4,89247,89.247,0.7620000000000005,1
240,s2,S 68,4,90880,90.88,0.695999999999998,1
253,s2,S 68,4,95778,95.778,0.6129999999999995,0
275,s2,S 68,4,104747,104.747,0.37999999999999545,1
296,s2,S 68,4,112915,112.915,0.18900000000000716,1
305,s2,S 68,4,116178,116.178,0.10699999999999932,1
312,s2,S 68,4,118626,118.626,0.04800000000000182,1
