,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
64,s1,S  6,6,24667,24.667,0.1490000000000009,0
88,s1,S  6,6,33028,33.028,0.3609999999999971,0
105,s1,S  6,6,39719,39.719,0.5210000000000008,0
114,s1,S  6,6,43060,43.06,0.5949999999999989,0
121,s1,S  6,6,45568,45.568,0.6580000000000013,0
160,s1,S  6,6,59784,59.784,0.18200000000000216,0
164,s1,S  6,6,61458,61.458,0.22399999999999665,0
173,s1,S  6,6,64797,64.797,0.17900000000000205,0
189,s1,S  6,6,70648,70.648,0.44299999999999784,0
207,s1,S  6,6,77335,77.335,0.5999999999999943,0
216,s1,S  6,6,80681,80.681,0.6859999999999928,0
248,s1,S  6,6,92385,92.385,0.14500000000001023,0
261,s1,S  6,6,97404,97.404,0.27299999999999613,0
274,s1,S  6,6,102418,102.418,0.38700000000000045,0
284,s1,S  6,6,106599,106.599,0.49099999999999966,0
303,s1,S  6,6,114122,114.122,0.6710000000000065,0
307,s1,S  6,6,115789,115.789,0.7010000000000076,0
315,s1,S  6,6,119138,119.138,0.7940000000000111,0
