,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
77,response,S130,2,30950,30.95,0.3049999999999997
88,response,S130,2,35050,35.05,0.2259999999999991
213,response,S130,2,80679,80.679,0.5559999999999974
