,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
132,response,S134,6,24944,49.888,0.259999999999998
171,response,S134,6,32069,64.138,0.4240000000000066
306,response,S134,6,57569,115.138,0.23799999999999955
