,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
62,response,S136,8,12637,25.274,0.5100000000000016
214,response,S136,8,40623,81.246,0.2740000000000009
263,response,S136,8,49461,98.922,0.5939999999999941
