,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference
81,response,S133,5,15691,31.382,0.1180000000000021
268,response,S133,5,50523,101.046,0.3920000000000101
322,response,S133,5,60955,121.91,2.0279999999999916
