,Stimulus Type,Stimulus Stream,Numbers,Position,Timepoints,Time Difference,Response
7,s2,S 70,6,2375,4.75,0.3959999999999999,0
44,s2,S 70,6,8900,17.8,0.06599999999999895,0
63,s2,S 70,6,12576,25.152,0.7280000000000015,0
89,s2,S 70,6,17064,34.128,0.509999999999998,0
113,s2,S 70,6,21551,43.102,0.2919999999999945,0
120,s2,S 70,6,22773,45.546,0.2259999999999991,0
145,s2,S 70,6,27262,54.524,0.00999999999999801,0
163,s2,S 70,6,30526,61.052,0.6859999999999999,0
174,s2,S 70,6,32564,65.128,0.5799999999999983,0
182,s2,S 70,6,34196,68.392,0.5,0
190,s2,S 70,6,35827,71.654,0.42199999999999704,0
214,s2,S 70,6,40318,80.636,0.19999999999998863,0
220,s2,S 70,6,41538,83.076,0.13999999999998636,0
228,s2,S 70,6,43174,86.348,0.06799999999999784,0
268,s2,S 70,6,50519,101.038,0.5459999999999923,0
281,s2,S 70,6,52962,105.924,0.41200000000000614,0
